Name,Description,Category
Bindass Developers,"App for the tourist  to know about the best hotel and their bookings, their adventourous destination and the locations",Tourism
Bingo,"Bingo is a multiplayer game and can be palyed online,it is an mathematical tic toe game using 25 numbers",Gaming
Bir,App that help you to find out the information about the relationship and bio-details of the member in the family chain or herity,Utilities
Birds of Nepal,App would allows bird watchers to get the information about all the birds that are found in Nepal and allows to create note of bird watching trip,Tourism
Bitknit,An app to solve all the problems related to buses in Nepal :),Utilities
Bits Mantra,An app to help navigate visually impaired people through obstacles in their daily environment,Utilities
BLG,"An Apps that assists people to get urgent information and contact number of Schools, Hospitals, Banks, Cinemas etc inside Ktm Valley",Utilities
BlindCare,An app to help sightless and visionless (blind) people by providing easy sound and graphics interface which they can understand and get help easily,Health
Blood Bank Nepal,App to increase blood donors in nepal to provide immediate access of required blood type nearby,Health
Blood Center,A technical Initiation to save lives,Health
blood group,list all the relevant blood donor near by u with thier contact no,Health
Blood Match,"To provide platform for donar and receptor for the related blood group, nearby location, last donated date",Health
BloodMobile,"app that lets you request blood and locate donors, hospitals, donation camps on map, register for donation events and directly make a call",Health
Book easy,"App that let user to check for events, plays, movies and other entertainment activities happening around you and book and",Utilities
BootSpace,Place to find your next work space Need a place to work for a day/week/month or year? We find it for you,Utilities
Boulder Dash - Aakaar,A game where you play a boulder that rolls down an infinite hill avoiding the obtacles with various poweups,Gaming
box and pebbles,we want to convert a urban childrens game to android apps which is played on the mud by making holes and putting pebbles,Gaming
BPFine,An app that helps to know diference between personal medical data wth standard medical data with non pharmacological sugesstions and medicine reminder,Health
Brainy Brain,Its an app to download the facebook synchronised photo,Utilities
Brawbee,Video wise location-based social discovery application that facilitates communication between mutually interested users,Gaming
Break Music,an app that plays you a random song after one takes break from long work or study,Utilities
Brick Fall,Brick fall is a android game in which a user tries to build a towers of bricks falling from above user needs to balance the tower from falling,Gaming
Bucket List,"Our idea is to create a mobile app that suggests travelers, the various activities - kinda like a bucket list for every destination",Tourism
Bulletin Board (Quiddity),,Utilities
Bus Schedule,This app gives people information about bus departure time of different bus service provider in main cities of nepal,Utilities
buzzer!!!,"A weather forecast theme launcher, working and displaying a motion wallpaper detailing about the current weather with measuring of temperatue",Utilities
Caicas,Connect and communicate with your home appliances,Utilities
Call The Cab,This app calls cab the nearest location of the user,Utilities
call4blood,Building a bridge application between the blood donors and needies,Health
Calorie Alert,The user can capture the picture of food they are about to eat and find out the amount of calorie it contains and alerts if it is consumable or not,Health
Calorie Counter,"An app that lets you calculate your daily calorie consumption, calorie gain and calorie reduction as well as calorie contained by each food item",Health
CalorieMeter,Caloriemeter will takecare of you and what you take Now,Health
Care-O-meter,A health event calendar which lets people to about the health programs happening in their communities and intends to increase participation,Health
Careerism,,Utilities
cash player,Android online game that uses debit or credit card amount for coins and player wins game and coins increses and exchange them to cash,Gaming
CashOnRoad,You see deals/discounts scattered throughout the city on a,Utilities
Caveman,An endless runner game :),Gaming
Cell Pad,An app that can be used your cell phone as a trackpad for your laptop and PC through wireless,Utilities
Chipleti /War Frenzy,"Multiple missions of saving own empire and destroying enemy lines, capturing forts and gaining all privileges based upon value of destroyed elements",Gaming
Chit Chat,"It is basically an instant messaging app, where people can chat in secured and in a fun way",Gaming
Chronicle,Accounting for individual to keep track of daily and overall financial transactions and help maintain ones economy,Utilities
Chronicles,App that lets users share writings anonymously with fellow users who can act as editors and critics to help enhance,Utilities
CITY MUSIC WORLD,"City Music World is an intuitive app that provides a common music platform where people can learn about unique or unheard musical tracks, etc",Gaming
CityCab,The idea is to connect the passangers and the nearby taxi drivers,Utilities
Clans Of Nepal,Payrent,Utilities
Clashers,Our app determines whether the persons eye is suffering from short sightedness or long sightedness or is in normal stage and suggests the power,Health
Clashers,Our app is for recharging your phone bills using QR code system,Utilities
Click N Share,"Its a simple app which takes pictures or shoot videos and can instantaneously share it to Facebook,Twitter or Instagram",Utilities
Click On Driver,This app track the location of the user (not in condition to drive) and sends professional driver to drop him/her home on their own vehicle,Utilities
Code 4 Change,"why to wait in line, if you can book the tickets online of the new movie released",Gaming
Code 4 Change,Testing hearing capacity and surrounding noise level,Health
Code 4 Change,You can hire any two wheelers and four wheelers through app,Tourism
CoderDreams,"A fitness APP with GPS tracker for workouts (eg cycling and many),live health tips,reminders and detail report with calorie burn estimation",Health
College Finder,"A handheld application which will help students to find proper place to study based on their requirements(ie fee structure, rank, location etc)",Utilities
Comfy Travel,Build a social network of willing private vehical owners and non-owners to create database of starting and ending point of pre-planned travel,Utilities
Comic Sans,Comic Sans provides readers with interactive comic reading experience & artists with a different level of digital comic making platform,Gaming
cost of all,"it provide the cost of all most all thing such as cost of transportation, cost of the food around you etc as prescribed by the nepal goverment",Utilities
Creativ Creesna,Recharge in click,Utilities
CrossWord,"Our favourite childhood game, Crossword, is now in our android smartphone and we can challenge our brain against our mobiles processor",Gaming
crucialz,this app use VPN 2 cnnct othr mobile n use its camera s cc camera n 2 use its temprature sensr 2 act s fire alarm n call the no at emergncy aftr 1min,Utilities
crux,"My idea is abot Game QuestIn my 3d game a bird is lost in a place and searching a way to go your home,in this way some difficulities come",Gaming
Cryger,"This is about a quest of a young warrior to reunit with his lover, who is kidnapped by an Evil Wizard",Gaming
Crysal IT Nepal,"To provide the facility to calculate and maintain the records of different services like telephone bill, electricity bill, drinking water bill etc",Utilities
Crysal IT Nepal,Rubics cube solution game,Gaming
Cubical Technologies,Help tourist to get any kind of information of location specified by them and get notified by events happening around them,Tourism
Cure Me,An android app which helps you to chat with all online doctors,Health
Cyclepanti,"A game that simulates cycling through iconic alleyways, monuments and natural beauty of Nepal",Gaming
Dandi Biyo,The main idea of the DandiBiyo game is to provide a mobile platform for the traditional Nepali g,Gaming
Data-Lab-Nepal,"Citing the lack of digital data regarding Nepalese business, politics, film industries etc, we want to build a data lab inspiring people to use",Utilities
Delivery Boy,Reliable and instant delivery of product from online shopkeepers(facebook fanpage/e-commerce) with constant online checking or update of product route,Utilities
Design My Room,Design my Room is a mobile app that will allow you to design your room virtually with 3D views of furnitures and also trading them,Utilities
Developers,"An app that lets you know about the events, sale offers, restaurants, movies and more based within the radius of your current location",Utilities
difficulty handeling,"it improve your mental ability to solve the real world problem,you have to solve the problem shown in the picture and describe it",Gaming
DinnerWare,App to know nearby restaurants and their amazing deals and events you always wanted to go,Tourism
Dirghayu,Dirghayu app will provide complete s,Health
Disaster information System,"Real time Disaster alert, notification and disaster assesment via smart devices using location based services",Utilities
Discount,Know where the deals and discounts are,Utilities
Discover,"Discover lets tourists get more out of their travel through new experiences along with bringing beautiful, interesting yet unknown places to exposure",Tourism
Disease Dictionary,"Provides the detail information on symptoms, causes, effects and remedies on any disease and symptoms provided by the user",Health
doctor,This app mainly focus on Diagnosis and remedy of possible diseases from symptoms using AI,Health
Doctor Connect,"Our app is based on the use of IT for public health, our aim is to virtually connect end-users and professional doctors for consulting their problems",Health
Doctor Nahuda,Apps helps to get solution of the diseases when/where there is no doctor or before reach to the doctor,Health
doctoronlinefe d,"Apps to trace the doctor where he is and hospital,clinic,pharmacy,nursing home,specialist,ambulance service with phone number",Health
Dosewallet,"A complete dictionary of the medicines you consume in your mobile with whole new dyanamics of what, how and where you buy your medicines",Health
Dr Diary,"This is the unique medical application that provides many features to save time for busy Doctors, specially for clinics",Health
Dristi,"An app that uses camera function to diagnose STD, eye and skin diseases and highly private consult with recommend highly qualified doctors instantly",Health
DrivingLicense Guru,"This app provides infos about training center,Documents,Rules,Q&A for getting Driving License",Utilities
Drop Me Here -my Cab,Drop me here is all to call taxi at your locationCab solution in kathamandu valley,Utilities
Dustbin Scorer VR,A Virtual Reality game played using Google Cardboard where the user throws paper balls in a virtual envir,Gaming
e-Doctor,"App that provides Prenatal and Postnatal information including proper medicine, diet, advises and many more facilities at finger tip",Health
earthquake alarm,Alarm alert whenever there is earthquake,Utilities
Earthquake Mate,Detecting Earthquake based on the volunteered accelerometer data from different locations & getting directions to the shortest safe places,Utilities
Earthquake Nepal,"App that provides information about recent and past earthquakes in Nepal along with real-time notification, safety tips, warnings and so on",Utilities
easServ,easServ acts like menu card on cutomer smartphone and uses local server on lappie to fetch item list and help order food on particular table,Utilities
Easy Office,This application will help the users to find necessary information required in order to complete their work in governmental offices of Nepal,Utilities
Easy Read,App to know the second hand books available for exchange or sale,Utilities
Easy Rent,"This app helps in all the rental business like house rent,room rent,vehicle rent,equipment rent,things rent etc in effective and efficient way",Utilities
Easy Travel,App to track the current vehicle position and estimate the arrival time to the selected destination,Utilities
Easy Wallet,Save your credit card details and transfer cash from one account or card to another (including transfer between national and international cards),Utilities
EBlood,This app is based on providing emergency blood of required blood group type which is searched on basis of profile create by the users of this app,Health
Eclipse,"App that creates visually appealing, distinct & artistic pictures by processing the sounds and words dear to you, using a unique formula",Utilities
eco commerce,An e-commerce app which plant a tree after every certain successful purchase made by a customer,Utilities
eDoctor,connect with doctor,Health
EDU_QUIZ,Learning With Fun,Gaming
Egg,"Egg is an interactive math skills learning lock screen game for children that rewards players  based on effort,focus,persistence and techniques used",Gaming
EHealth,Monitors user health status and provides feedback,Health
Emergency,"A product that allows user to download emergency contacts for his/her location like ambulance, police and add important personal number and details",Utilities
Empericist,Our main idea is to create a game which can also be played by disabled people (like those who are visually impaired),Gaming
Enigma,"An app that shows doctors availability schedule in hospitals and clinics and allows users to make online appointments, online consult and payment",Health
EPCI,"Provide access to available nearest EPCI E=Electrician, P=Plumber, C=Cable, I=Internet at MVP stage and expanding service providers laterApp Flow",Utilities
Erudite,An app that connects teachers to student and employers to employees!,Utilities
EscapeJump,"Esacpejump is simply fun Game, where user encounter different enemy and eliminate the enemy by shooting",Gaming
eSchedule,"App that gives schedules and info about TV, radio, events, concerts etc",Gaming
Eureka,App to book all travelling needs from verified vendors to make your visit hassle-free notify you the latest update on selected events,Tourism
Eureka,"Financial app to buy, sell and bid daily commodities including bullions at Real time price or the price you think is best for you ",Utilities
Event2Change,"App to know each and every event that are happening around Nepal Like Concerts, Exhibitions,Festivals,Jatras-Community festivles,etc",Gaming
Eventronix,App to keep you notified about various events happening in the country,Gaming
Events Nepal,"This app provides all upcomming events, programs, exhibition, party and its information with date, time and location",Tourism
Exare,Semantic organization of peoples experiences or info in question answer form so that user can search for things search engine cant provide,Utilities
Expenditure Notifier,"Expenditure Notifier is an app which keeps track of your daily as well as monthly expenditure, shows it in graphical format",Utilities
Experience Nepal - Travel Guide,The ultimate travel guide/organizer for Nepal,Tourism
Explore Nepal,This app allows all the national and international tourist to know about the religious and cultural events happeneing in the country,Tourism
Expo Nepal,An app to suggest tourist to explore Nepal and help to find their necessities until stay to Nepal,Tourism
F-Book,"Apps that lets users to find best books (best writers book) for their levels(Loksewa,Bachelor,Master,+2,etc) available in the market with price",Utilities
Face it!,"A reality show conducted every week, in which people get acess through apps",Gaming
Fair Transportation,This app will estimate the transportation cost of total distance travelled by the user from their phone,Utilities
Falcon,"An, ingenious app to address the pills alarm, notification or message for the person in medication ",Health
Falcon,An applica,Utilities
Festive Food,"App to know the festival special food and guides you to make those food, apparatus required",Utilities
Figaro,"An app that creates the best user experience for working with financial data, one that empowers people to ask and answer complex investment questions",Utilities
Find Me,Tourist do,Tourism
First Aid Droid,An android application that provides information on how to perform the required first aid in different situations,Health
FirstAid,An app that can provide users with loads of instant suggestion for pain and stress,Health
Fit and Healthly Nepal," This app provides physical fitness trainings and yoga,that can be done at home to live healthy life ",Health
Flip Me,"Game is simple,will be of small size and it will help to make active both sides of brain and fast reaction ",Gaming
Flipped,A platform-adventure video game in a world of “mirrors” which when crossed leads to alternate realities with conflicting gravities,Gaming
FM/TV-MATE,Never Miss your favorite episode/channel,Utilities
Food Tour,App that focuses on the beauty and diversity of foods in Nepal to attract and ensure domestic and foreign tourists tour to be tasty,Tourism
foodie,foodie-an app for all food loversfeel free to share your recipe and express ur foodie behaviour to entire world cause its all about food,Utilities
foodNepal,"App that lets food loving tourists know about different cuisines of Nepal, specific to culture and region along with their history(if any) and recipe",Tourism
FootballNepal,This app provides informations and news regarding the domestic football league of Nepal,Gaming
Forest Ranger,Forest Ranger is a First Person Shooter 3D game where game character is a Forest Ranger who have to travel in a forest and defend it from poachers,Gaming
Funtasia Football,Our idea is to develop a gaming application that simulates the career of a manager in football,Gaming
Game Update,Provide updates for all national games updates via sms and android application and International World Cups,Gaming
Gantabya (Destination),"An app that recommends the tourists with the places depending upon their mood and affordability, then guide them in every possible way to get there",Tourism
Gas Solution,An android app which displays the current gas cylinder rate and sends gas cylinder request to desired gas cylinder providers,Utilities
Gharelu remedies (Home Remedies),User can get detailed information on,Health
Ghum-gham Guide,App to guide for travelling historical places in  Nepal,Tourism
GhumNepal,GhumNepal will allow people to know about various places focusing on unrecognized ones and to establish communication among tourists worldwide,Tourism
Gleaf,Unlearn sexual misconception,Health
GMYN(give me your network ),"just like sharing internet through hotspot, what if we could share network",Utilities
GO Futsal,"App giving recommendation and information on futsal grounds based on location,price,avaliability,condition of ground,tounaments for futsal fanatics ",Gaming
Go Green,Make your home and surrounding healthier and greener,Utilities
Go Study,"Guides students,learners to their interested course,subject helps them finding respective college/teaching/training institution with all comparison",Utilities
Gogreen,It is all about helping Students to Remember during Exams periods important notes,Utilities
GOH2O,H2O schedule + swipe to call & complain to water boards & authority as per area/group,Utilities
Gomovi,Provide a centralized portal for checking out all available movie shows at all theaters and booking / ticket purchase facility,Gaming
Great NEPAL,Translate some of the language to Nepali language and vice versa,Tourism
Greener Nepal,"When you recharge your Prepaid account for 10 times using our app, a tree will be planted in your name",Utilities
Group Chess,GroupChess as codename will be the Chess game/app playing by 1 certain group as singleplayer VS an/other certain group as per timeset for move piece/s,Gaming
Guess That Song,Musical game that challenges you to identify songs based on short audio clips or some facts,Gaming
Guid,User friendly app which help to find out the tourism areas with present condition and events in that area,Tourism
Guide your tour,"App that contains location and description of hospital,park, museum, stars hotels,post office,bus station, petrol pump and cultural places ",Tourism
Guide Yourself,know the tourist attractions near by you based on your location,Tourism
Guide-Me,"This app lets you find the Lodge,Restaurant,Bars,Hotel,Motel near you",Tourism
GUIDER,Helping tourist to guide themself during their visit in nepal,Tourism
gusic,"lets create a online game on musics all over the world, in which players get their opponent randomly and batlle on the topics of music",Gaming
Hamro Bus app,An app that details all the public transportation routes in the city,Utilities
Hamro Hospital,It is a reliable app providing detail information about hospitals and doctors with appoinment facility,Health
Hamro Maan,Nepali Dating App,Gaming
Hamro Swasthya,This app mainly focuses on giving informatoin about heath related problems with their diagnosis and remedy,Health
Handyman,"A handyman that connects local electricians, painters, plumbers, carpentars, computer technicians to you",Utilities
Happy Pregnancy,"Provides with in-depth knowledge on pregnancy for both parents, precautions needed to be taken and steps to be followed during the peroid ",Health
HealerPath,"app that report the health, setting alarm time for the medicine, refer best hospital and doctor and their followup routine",Health
Health 360°,"Covers all the health problems along with their causes,symptoms, preventions and precautions and manages appointment plus help get more ",Gaming
Health Advisor,Health Advisor is an app which advise users what not to eat and which yogas they should do when they are ill,Health
Health Alert,"Health Alert Application is the daily calculation of water level and calories of users body and, notify and alert them",Health
Health Info,"App to get complete information on Hospital, Doctors, Medical Labs & their offers with price comparison for brands of medicine and Pharmacy",Health
Health Online,This app helps to fill the appointment form  of hospital by mobile recharge,Health
Health Plus,"This is an android app intended to enhance the health knowlede, services and facilities to the general public ie user ",Health
Health Recommender,"probable disease recomender,based on information provided by the user with probable disease related doctors and hospitals information",Health
Health+,Gi,Health
HealthApp,,Health
HealthCheck,"App to keep track and remind people of the immunizations and medical check ups,provide information about those and pro",Health
HealthGuide,"A patients handbook with health profile, hospitals-doctors search, appointments, recommendations, locations, statistics, reminders & many more",Health
Healthmate,"Healthmate is an app which provides user knowledge about the disease  by  knowing the symptoms, emergency cares and home remedies",Health
Healthy Kitchen,Helps to find or upload healthy food recipe where app will calculate calories in recipe and all users can rate recipe based on taste and post comment,Health
Healthy Nepali,This app will create an open platform for asking teenage problems and getting appropriate solution and tips from respective experts,Health
Healthy-I,Select your symptoms and find out possible dieaseas that you are going through along with ways to solves them,Health
HelloDoctor,Hello Doctor is a  mobile app that empowers people to control their health,Health
helper nepal,To provide the student hostel app in which they can find the hostels of their choice,Utilities
Here I Go,This app contain already made packages(Static) of different travel agency and along with this user can also make their own package(Dynamic),Tourism
HIDDEN NEPAL,To know the,Tourism
Himal,This app provides information about mountains to the users and also about mountains that can be viewed based on the current position of the user,Tourism
Hire A Guide,"ONLINE PLATFORM FOR HIRING A GUIDE AND PORTER WHICH INCLUDES THERE EXERIENCE,CATEGORY,SPECIALITY,RECOMMENDATIONS  AND THEIR COST ",Tourism
Hire Rooms,"This helps to upload all the details of the Rental rooms in Nepal, where Owner keeps the room details & interested one can apply for hiring",Utilities
HisabKitab,the expenditure of single day is to be inserted and the total amount of money spend on a month is calculated at the end of the month,Utilities
Home Remedial App, App that will give working home remedial suggestions for the most of the diseases according to the symptoms,Health
Home stay and popular places Nepal,App which shows the homestay options and popularity of places in nepal among the tourists in Nepals map,Tourism
Homemade,Homemade helps every homemaker in the country become an entrepreneur by allowing them to use their kitchen as an a,Utilities
Homestay Nepal,Helps connect local/foreign tourists with local residency,Tourism
Hospital For Everyone,"App to find hospital, register patient name in hospital and to take a date for the treatment",Health
Hospital Sewa,"Our Hospital Sewa is a android app provide all hospital details,health tips,telemedicine service  & local ayurved medicine",Health
HospiTele,Your home/app based medical solution,Health
How Do I Look?,"App to let people try out different looks and outfits with various haircuts and beard, outfits and colors before acutally getting that in real life",Utilities
"HPK IDEA, VEHICLE TRACK",It tracks the vehicles current position and estimates the arrival time to the selected destination,Utilities
hybrid tracker,track  any  person who are  trekking or on a way to climb mountains and those who are trapped in a place where they can lose life,Utilities
I am in Nepal,"Multilingual app that helps tourists ease their visit in Nepal,with required local material /info / utilities, making their stay an unforgettable one",Tourism
i need help,app has a database of informations regarding their blood groups and stuffs so that during medical emergency people neednt browse over social media,Health
IAMSAFE,It is a kind of family private network application where family memeber can communicate with each other and can trace their family member location dur,Utilities
Ideas storming  Team,Application where ideas and problems will be shared of any field and get solution of it from experts users,Utilities
iMED,Development of a mobile app for collaborating patients and doctors for health problems and prescriptions via internet,Health
Imusic,listen any music anywhere anytime with just a click,Gaming
IN-OUT,"In-out is a multiplayer game, where a IN,OUT call requires you to stay inside, outside the cirlce respectively",Gaming
inCube,An App to guide and help tourists in different aspects of their journey,Tourism
InEmergency,An application that helps to call ambulance/medical service if you are alone or not in the state you can dial call to friends/family/doctor  for help,Health
Infinite Nepal,"Give tourists an effective map of Kathmandu -- locating all major as well as minor touristic venues also, highlighting out-of-valley venues to them",Tourism
InfoHealth,Our Health Our Wealth,Health
innovatives,,Health
InsurePasa,Finds its users the best Insurance & Financial solutions across all options and delivers it to them,Utilities
Intercept,Mobile Launcher App that analyses user behavior to manage icons(apps & buttons) placements and adaptive design,Utilities
Interested IN,Interested IN is an app that connects the people together having common interest and objectives,Utilities
Internet of Things (IoT) Group / Internet Based Device Control System,"This project will control operation of switching of light, waterpump, dryer etc of home/Industry using web & android mobile via internet",Utilities
IRUSH / Nalapani,"Nalapani is MMO(massively multiplayer online), PvP, platformer(2D) and action game, depicting one of our historical battlefields",Gaming
ISpyNepal,This application is a game where users are asked to take a picture of a certain object of a certain place in Nepal as a task to earn points,Gaming
iTravel,"An app which helps making tourism in Nepal more safer, easier and prompt tourism",Tourism
Jaagau Nepali,"App allows to report social,economic,political and almost every ascept of national issues to the",Utilities
Jana Chaso,App that collects the voices of people what they wants on the country and send those voices to a place where goverment will listen,Utilities
Jellified,"A cute, addictive, jellicious platform game where players help the cute little Bubby find his magical Jelly in jellyish land",Gaming
Journey In Nepal,"Due to Big Disaster Tourists are afraid,This app will provide All Informations that Nepal is fully safe to be visited with full of natural heritages",Tourism
Junkiri,Considering the shy nature or feeling offended to share about the sexual related problems(specially females) this app will help them,Health
Just For Games,App that gives knowledge of every games from local level to international level with all the facts and figures,Utilities
Kasapasa,Kasapasa offers two way gaming experience with awesome social gaming for audience with game events management environment,Gaming
Kawadi,Any one can Buy and sell goods (any goods that can be either first hand or second hand ),Utilities
KB Hood,"New release movies of  week of KOLLYWOOD,BOLLYWOOD and HOLLYWOOD link for their official trailer with others reviews and online buying ticket",Gaming
Kham,This app give platform to solve problem regarding human resources or helper,Utilities
Khelsansar,App that gives information on all the live fixtures on any tv channel,Utilities
KHOJ DABAI,This app easily help to find the location where user can easily find the medicine he/she wanted,Health
Kill the Bugs,Its an awesome game with special provision for  music,Gaming
Kin Mel,This is an app that will change the way you look at shopping It will take shopping to whole new level it will revolutionize shopping,Utilities
Kitap,App that helps buy and sell pre-owned books in cheaper prices,Utilities
Knot Near,"Planned your wedding?, Knot Near will help you realize your wedding just the way you want pampering you with choices",Utilities
know nepal,Important telephone number of all sector of Nepal,Utilities
know nepal,Important telephone number of all sector of nepal,Tourism
koi cha,need anybody around for anything? Just login Koi cha,Utilities
Kotha khalicha?,"Kotha khalicha would be useful for all individual, business person and others around the people in nepal who are searching room, flat, house on rent ",Utilities
Ktm Route,An app to provide information about public vehicles providing their service in Kathmandu,Utilities
KTM Tour Guide,KTM Tour Guide provides information about all  tourist destination as well as essential places at Kathmandu and guides through google map,Tourism
KuKhuriKan,The app will let the users search for companies to apply for an intern and also will provide infromations regarding ongoing trainings near them,Utilities
Lampsoft Designers / Shop Smart,Try out virtual eyewear and find out the one that fits youSee the products in 3d at home before you buy,Utilities
Lampsoft Designers / Unnamed (VR),First person 3d survival horror game withvirtual reality mode included,Gaming
learner/Health lite,way to solve problems facing by the people over nepal,Health
Learn_fun,Its for children of small age who havent started to go to the school they can  ABC 123 etc at the last there is game for them to present learning,Utilities
Leezard Entertainment / Kathmandu Racer,Feel the excitement of true nepali racing game!!!!!!!,Gaming
Lets Go Together,An app which connects the person in need of a ride with a driver/rider with their own vehicle who has common route as the user,Utilities
LETS ROLLL,"we travel,we roll,lets rolll",Tourism
Level It Up(LIU),LIU is a 3d physics based game where the user is stucked in a level with necessary items within the level to solve the puzzle and move onto next,Gaming
Lexicon,"This Vocabulary based game helps students prepare for exams such as SAT, GRE and GMAT",Gaming
Licence Nepal,"app that helps intrested people get a driving license by informing schedule, location and provide enough knowledge to pass the driving license exam",Utilities
LifeMadeEasy,This app is to remind people of the things to buy or do whenever they approach the respective places without the need of having active data connection,Utilities
LipSync,App for lip syncing  to existing video clip,Gaming
Lishn,Lishn is a music streaming platform where users get acces to free legal music and artists get paid for every time their song is played,Gaming
Local Bhaau,"An app which shares the price of local products like vegetables,fruits etc",Utilities
local language promote,to promote local language of the country and made computer friendly which preserve the cultural and heritage of the country,Utilities
LocaTilcom,Social Travel App that,Tourism
LocoQuiz,LocoQuiz will allow users to lively interact with a place in Nepal via Quiz in one touch,Tourism
